Company Name,Title,Description,Location,Started On,Finished On
HoneyBook,Engineering Manager,,,Oct 2025,
LeadJobs.dev,Co-Founder,Building the future of engineering leadership job searching!,,Oct 2025,
manager.dev,Founder,"Building, writing, and creating for Engineering Managers.",My home,Jan 2023,
Weave,Engineering Management Evangelist ,A combo of Engineering + Marketing + Writing.  I’m focusing on helping Engineering Managers discover and adopt Weave!,,Aug 2025,
BI Magics,Co-Founder & CTO,"Tried my hand at startup life. Built and launched an agent-based product in the BI/data space. Had some early traction, but turns out that bootstrapping a B2B data-oriented product is not that easy :)",,Feb 2025,Sep 2025
Taranis,Director of Engineering,Leading the Data group - we are responsible for the data acquisition and data flow until the final insight  for our clients. ,,Feb 2024,Jan 2025
Taranis,Engineering Manager,"Building and growing the Acquisition team. We are responsible for Taranis' operations applications, which are responsible for: - Millions of images uploaded - 50K+ flight plans generated - 130+ satisfied drone pilots  - Python, NodeJS, React (Typescript) - Leading a team of 5 developers",,Dec 2021,Feb 2024
Taranis,Full-stack Developer,"- Developed Electron and Web applications, using TypeScript - React/Redux/Redux-saga - Microservices in Python (GRPC) - Used Kubernetes (on GCP), RabbitMQ, Cloud storage, and some more buzzwords",,Oct 2020,Dec 2021
Mamram,Engineering Manager,Founded a team that was responsible for providing and maintaining Database-as-as-Service solutions on our private on-prem Cloud - both on VMs and Kubernetes.  - Python  - Ansible  - PostgreSQL - MongoDb ,,May 2018,Oct 2020
Mamram,Programming Course Commander,"After completing a 6-month intense coding bootcamp, I was chosen to instruct it. For 4 more years, as a commander and later an officer - mentoring the next generation of Israeli programmers.",,Mar 2014,May 2018
Golden Zebra Software Inc.,Software Developer,"- JavaScript   - Created 3D arcade games in Unity3D, with world-physics and a storyline.  - Created and sold 2 packages for other developers in the Unity Asset Store.  ",,Mar 2011,Mar 2014
